Area,Perimiter,Major_Axis_Length,Minor_Axis_Length,Eccentricity,Convex_Area,Extent,class
12573,461.4660034,192.9033508,84.57207489,0.898771763,12893,0.550433397,class2
12845,464.1210022,194.3322144,85.52433777,0.897951961,13125,0.774962306,class2
14055,488.7489929,207.7517548,87.25032806,0.907536149,14484,0.550076306,class1
14412,490.3240051,207.4761353,89.68951416,0.901735425,14703,0.598853171,class1
14658,477.1170044,189.5666351,99.99777985,0.849550545,15048,0.649503708,class2
10578,414.6199951,167.7519226,81.58570099,0.873765588,10899,0.603973985,class2
16122,539,233.9135132,89.53108215,0.923850715,16440,0.511160433,class1
11119,427.04599,178.8131256,80.61784363,0.892599881,11420,0.790712535,class2
11075,416.8500061,165.2962646,86.2791214,0.852965951,11315,0.661273003,class2
13066,458.2619934,186.3458557,90.90145874,0.872949541,13315,0.614812732,class2
12416,441.928009,175.2147217,91.56061554,0.852601111,12738,0.629167914,class2
14274,488.8299866,203.5678558,89.92999268,0.897128761,14529,0.572356522,class1
12535,442.9379883,185.8367004,86.91271973,0.883896112,12669,0.601718485,class2
10395,415.29599,170.193512,79.33728027,0.884700835,10725,0.609677434,class2
11279,426.2120056,168.4024658,86.92972565,0.85646677,11651,0.660904706,class2
16155,515.2800293,217.605484,95.48460388,0.898586273,16418,0.583318293,class1
9801,391.9649963,162.8990479,76.97164917,0.881324589,9964,0.664744973,class2
9431,383.9590149,159.6559448,75.79572296,0.880123854,9556,0.775575638,class2
11237,429.5299988,179.3839264,80.49434662,0.893669069,11430,0.590426624,class2
15398,513.0230103,214.0542603,93.68448639,0.899137139,15936,0.695043802,class1
11983,432.4389954,172.424942,89.33903503,0.855300128,12238,0.700842202,class2
11695,434.1340027,183.0924683,82.14225769,0.893713534,11845,0.798838794,class2
11114,413.07901,170.099411,84.00698853,0.869535744,11293,0.76039958,class2
13606,480.9460144,204.2897186,85.28391266,0.908692777,13861,0.583697975,class1
15739,525.0009766,228.2445984,88.84927368,0.921122789,15978,0.573244452,class1
11322,415.6010132,164.598053,88.87003326,0.841715336,11619,0.754045963,class2
15741,523.776001,227.5023346,89.1243515,0.920071125,15999,0.563224554,class1
10805,410.4450073,164.7044373,84.79467773,0.857292712,11050,0.584971011,class2
12950,468.5700073,196.6167908,84.80031586,0.902209818,13584,0.761809528,class1
16024,527.4210205,226.2627716,91.60111237,0.914385796,16355,0.535686851,class1
13919,472.2279968,194.6864014,91.62575531,0.882329345,14169,0.701385736,class1
12800,448.2919922,185.5536804,88.76694489,0.878147721,13000,0.781440794,class2
12557,443.0100098,177.728775,91.59944153,0.856956422,12896,0.639293373,class2
10968,406.7940063,161.5101318,87.89692688,0.838943005,11184,0.693738163,class2
10168,400.4779968,162.562973,81.08890533,0.866708279,10424,0.623727143,class2
11438,433.9179993,178.3515625,83.5476532,0.883493364,11767,0.743016779,class2
13244,467.6440125,193.4249725,88.63653564,0.888824582,13672,0.797927439,class1
14236,486.1789856,201.7046814,90.64240265,0.893339813,14545,0.656157792,class1
17353,539.0339966,220.9611969,101.4541016,0.888359308,17845,0.630307674,class1
13072,484.7879944,206.8869324,81.92671967,0.918251574,13593,0.704158604,class1
11646,435.6069946,177.8407898,84.54723358,0.879764497,11902,0.622115374,class2
15593,512.4279785,216.6157074,92.91001892,0.903344214,16050,0.777473092,class1
10231,404.3640137,159.639267,82.99382782,0.854237139,10640,0.629987657,class2
